id,post,badge,reputation,learning,reciprocity,status,day,url,status_level
6287308,16.70337045,14.34871504,25,23.94535519,0.755195528,0.004385965,228,1,7
6287308,16.79252952,14.42563811,25,27.36612022,0.759244111,0.004366812,229,1,8
6287308,5.686759332,14.50263913,25,30.78688525,0.763296796,0.004347826,230,1,9
6287308,8.619660869,4.91129215,25,13.68306011,0.258489061,0.004291845,233,1,10
6287308,1.813636557,7.444252569,25,23.94535519,0.391802767,0.004255319,235,1,11
6287308,1.045173775,1.566322481,25,8.209836066,0.082438025,0.004081633,245,1,12
6287308,1.13761075,0.902650078,26.31578947,7.741731378,0.047507899,0.003787879,264,1,13
6287308,1.231930149,0.982482011,26.31578947,11.1624964,0.05170958,0.003533569,283,1,14
6287308,1.328210237,1.063939674,26.31578947,14.58326143,0.055996825,0.003311258,302,1,15
6287308,1.426534259,1.147090659,26.31578947,18.00402646,0.060373193,0.003115265,321,1,16
6287308,0.382791526,1.23200686,26.31578947,21.42479149,0.064842466,0.002941176,340,1,17
6287308,0.385027821,0.330592682,20.83333333,6.785918789,0.017399615,0.002293578,436,1,18
6287308,0.325447766,0.332524027,37.03703704,8.088142224,0.017501265,0.001751313,571,1,19
6287308,0.804281734,0.281068525,18.18181818,5.00575975,0.01479308,0.001182033,846,1,20
6287910,0.096550791,0.0625,0,0.045248869,0.003289474,1,1,1,1
6287910,0.169158051,0.083384774,1.333333333,0.060331825,0.004388672,0.25,4,1,2
6287910,0.241945479,0.146091044,1.666666667,0.105580694,0.007689002,0.142857143,7,1,3
6287910,0.31491397,0.208952914,1.666666667,0.150829563,0.010997522,0.1,10,1,4
6287910,0.128723511,0.271971156,1.666666667,0.196078431,0.014314271,0.076923077,13,1,5
6287910,0.230506108,0.111170305,1.764705882,0.079850945,0.005851069,0.033333333,30,1,6
6287910,0.305591433,0.199073457,1.785714286,0.14221073,0.01047755,0.022727273,44,1,7
6287910,0.381584524,0.263919874,1.785714286,0.187459599,0.01389052,0.017241379,58,1,8
6287910,0.207220231,0.329550271,1.785714286,0.232708468,0.017344751,0.013888889,72,1,9
6287910,0.394450171,0.178962927,1.829268293,0.124710297,0.009419101,0.008849558,113,1,10
6287910,0.525540828,0.340661511,1.851851852,0.234623764,0.017929553,0.007142857,140,1,11
6287910,0.346420604,0.45387617,10.41666667,0.471016728,0.023888219,0.006097561,164,1,12
6287910,0.434070007,0.299181431,10.41666667,0.442573358,0.015746391,0.004716981,212,1,13
6287910,0.526120216,0.374878642,10.41666667,0.649638352,0.019730455,0.003846154,260,1,14
6287910,0.623036516,0.45437655,10.41666667,0.856703346,0.023914555,0.003246753,308,1,15
6287910,0.738618193,0.538076991,10.41666667,1.06376834,0.028319842,0.002808989,356,1,16
6287910,0.897219607,0.63789753,10.63829787,1.293466702,0.033573554,0.00248139,403,1,17
6287910,0.466913462,0.774871479,45.45454545,1.87149178,0.040782709,0.002237136,447,1,18
6287910,0.536206067,0.403243444,44.64285714,1.338671048,0.021223339,0.001788909,559,1,19
6287910,0.654442983,0.463087058,38.46153846,1.708112846,0.024373003,0.001451379,689,1,20
6294072,0.096769809,0.062602965,0,0.115207373,0.003294893,0.5,2,1,1
6294072,0.145545847,0.083573926,0.666666667,0.153609831,0.004398628,0.125,8,1,2
6294072,0.219001607,0.125698686,0.625,0.230414747,0.00661572,0.0625,16,1,3
6294072,0.292951187,0.189137752,0.625,0.34562212,0.009954619,0.041666667,24,1,4
6294072,0.126530296,0.253003298,0.625,0.460829493,0.013315963,0.03125,32,1,5
6294072,0.231284855,0.109276164,0.666666667,0.197132616,0.005751377,0.012987013,77,1,6
6294072,0.311284855,0.199746011,0.675675676,0.354963258,0.010512948,0.00877193,114,1,7
6294072,0.394069427,0.26883692,0.675675676,0.470170631,0.014149312,0.006622517,151,1,8
6294072,7.376054384,0.340332687,0.675675676,0.585378005,0.017912247,0.005319149,188,1,9
6294072,14.83804627,6.370228786,37.5,17.46959174,0.335275199,0.005263158,190,1,10
6294072,3.053630759,12.81467632,50,41.57928214,0.674456649,0.005235602,191,1,11
6294072,1.613259387,2.637226564,50,14.95595509,0.138801398,0.005102041,196,1,12
6294072,1.700560975,1.393269471,50,14.1180762,0.073329972,0.004854369,206,1,13
6294072,1.788737327,1.468666296,50,20.75817486,0.077298226,0.00462963,216,1,14
6294072,1.877806153,1.544818601,50,27.39827351,0.081306242,0.004424779,226,1,15
6294072,1.967785703,1.621741678,50,34.03837217,0.085354825,0.004237288,236,1,16
6294072,0.608747434,1.699451289,50,40.67847082,0.089444805,0.004065041,246,1,17
6294072,0.343359167,0.52573642,52.63157895,17.3449594,0.027670338,0.003521127,284,1,18
6294072,0.437766588,0.296537462,53.76344086,13.72728637,0.015607235,0.00265252,377,1,19
6294072,0.471914674,0.378071144,52.08333333,18.13357964,0.019898481,0.002114165,473,1,20
6336479,0.146240158,0.063122924,0,1.304761905,0.003322259,1,1,1,1
6336479,0.219451473,0.126298318,4,2.60952381,0.00664728,0.5,2,1,2
6336479,0.292723746,0.189526272,5,3.914285714,0.009975067,0.333333333,3,1,3
6336479,0.366057079,0.252806871,5,5.219047619,0.013305625,0.25,4,1,4
6336479,0.256423035,0.316140205,5,6.523809524,0.016638958,0.2,5,1,5
6336479,0.586363196,0.221456257,15,4.566666667,0.011655592,0.142857143,7,1,6
6336479,0.659941791,0.506404578,25,10.43809524,0.026652873,0.125,8,1,7
6336479,0.733581959,0.569949729,25,11.74285714,0.029997354,0.111111111,9,1,8
6336479,0.318229162,0.633548055,25,13.04761905,0.033344634,0.1,10,1,9
6336479,0.551231233,0.274834276,25,5.653968254,0.014464962,0.076923077,13,1,10
6336479,0.196507604,0.476063337,25,9.785714286,0.025055965,0.066666667,15,1,11
6336479,0.172830073,0.169711113,27.77777778,3.479365079,0.008932164,0.041666667,24,1,12
6336479,0.248561571,0.149262336,27.77777778,3.044444444,0.007855912,0.023809524,42,1,13
6336479,0.325484648,0.214666811,27.77777778,4.349206349,0.011298253,0.016666667,60,1,14
6336479,0.422783556,0.281100377,27.77777778,5.653968254,0.014794757,0.012820513,78,1,15
6336479,0.502134323,0.365131253,29.41176471,7.291316527,0.019217434,0.010526316,95,1,16
6336479,0.206119661,0.433661461,29.41176471,8.596078431,0.022824287,0.008928571,112,1,17
6336479,0.245211784,0.178012435,29.41176471,3.453781513,0.009369076,0.005555556,180,1,18
6336479,0.342047404,0.211773813,56.81818182,5.193089929,0.01114599,0.003731343,268,1,19
6336479,0.277675472,0.295404576,57.47126437,7.777039378,0.015547609,0.002816901,355,1,20
6337748,0.146240158,0.063122924,0,0.100478469,0.003322259,1,1,1,1
6337748,0.219451473,0.126298318,4,0.200956938,0.00664728,0.5,2,1,2
6337748,0.292723746,0.189526272,5,0.301435407,0.009975067,0.333333333,3,1,3
